🟡 Content,English,Español,
S1 - Landing Page - Title,Get a one-time payment of $120 in summer food benefits for your child,Obtenga un pago único de $120 para pagar la comida de su estudiante este verano,
S1 - Landing Page - Body,"Each eligible child can receive a *one-time payment of $120*. Families may use the money to pay for groceries during the summer months. 

Some eligible families are automatically enrolled, and some need to submit an application. We can recommend whether you should apply for your child. Tap ""Do I need to apply?"" and enter your child's information.","Cada estudiante elegible puede recibir un *pago único de $120*. Este dinero se puede usar para comprar alimentos durante los meses de verano. 

Algunas familias elegibles son inscritas automátocamente y otras tienen que aplicar. Podemos recomendarle si necesita aplicar. Toque “¿Necesito presentar una solicitud?” e ingrese la información de su hijo/a.  ",
S1 - Landing Page - Action,Do I need to apply?,¿Necesito aplicar?,
S1 - Landing Page - Action Español,¿Necesito aplicar?,Do I need to apply?,
S1 - Landing Page - Action Subtext,Safe and secure,Seguro y protegido,
S1 - Landing Page - Accordion Title,How do I know if my child can get Summer EBT?,,
S1 - Landing Page - Body 2,Children may be automatically enrolled if we have information to confirm their eligibility. This usually happens for one of the following reasons:,Es posible que inscribamos automáticamente a tu hijo/a si contamos con información para confirmar su elegibilidad. Esto puede suceder por alguno de los siguientes motivos: ,
S1 - Landing Page - Body 3,"They are between ages 5 and 18. And they get SNAP (food stamps), TANF (cash assistance), Medicaid, or the Food Distribution Program on Indian Reservations (FDPIR)
Or they are temporarily unhoused or in foster care
Or they get free or low-cost meals at school
Or they are enrolled in a school that participates in the National School Lunch Program (NSLP)","Tiene entre 5 y 18 años y recibe SNAP (cupones de alimentos), TANF (asistencia en efectivo), Medicaid o el Programa de Distribución de Alimentos en Reservas Indígenas (FDPIR)
O, está temporalmente sin hogar o en cuidado de crianza temporal (foster care)
O, recibe comidas gratuitas o a bajo costo en la escuela
O, está inscrito/a en una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP)",
S1 - Landing Page - Body 4,"But, children who are not automatically enrolled may still be able to get the benefit. Parents or guardians should fill out an application to see if they qualify. Tap [""Do I need to apply?""](link) to see if you need to apply for your child.","Si tu hijo/a no queda inscrito/a automáticamente, aún podría recibir el beneficio. Deberías llenar una solicitud para ver si califica. Toca [""¿Necesito aplicar?""] (link) para saber si necesitas aplicar.",
S1 - Disclaimer - Title,What to know before we begin,Lo que debes saber antes de comenzar,
S1 - Disclaimer - Body 1,This is not an application for DC SUN Bucks.,Esto NO es una aplicación para DC SUN Bucks,
